PairID,Nest_No,Experience,Male_Size_Class,Female_Size_Class,Male_Age_Class,Female_Age_Class,Time_Taken,Time_Class,Used_Material,Material_Class,Entrance_Quad,N.SizePC1,N.SizePC2,N.ShapePC1,N.ShapePC2,N.ShapePC3,E.SizePC1,E.SizePC2,E.SizePC3,E.ShapePC1,E.ShapePC2,E.ShapePC3,E.ShapePC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,3,No,Under,Over,Over,Over,13,Over,21.6,Under,12,-1.38616651,0.3160846,1.289144195,-2.608412668,-0.831878663,-1.530595745,0.292533999,-1.193721785,0.152809663,1.420960071,-1.296910141,-0.358577915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,4,No,Under,Over,Over,Over,12,Over,18.7,Under,11,-1.407144553,-1.24401962,1.097801887,1.325405701,-0.731251264,0.230044642,-0.897196363,0.069103117,-0.499097716,1.273281507,-3.42465653,-0.284244759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,1,No,Over,Under,Under,Under,6,Under,14.1,Under,11,-1.431135753,-0.241289461,-2.49643958,-0.984065426,-0.096403745,0.694707062,-0.582876061,-1.158598994,1.527680875,2.645493156,-4.968027131,5.212963995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,2,No,Over,Under,Under,Under,11,Average,20,Under,8,-1.594505446,1.096340253,-1.26E-15,-7.88E-16,1.10E-15,3.329596273,-0.261483564,-0.47176652,-1.180747867,-0.565753413,2.539958845,-1.383059036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,3,No,Over,Under,Under,Under,10,Under,13.9,Under,11,-1.645096879,0.505085168,-0.949582449,0.385216744,2.424470029,1.632303261,1.012983245,-1.885738683,-2.62073686,-3.546890261,2.790918736,1.87208741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,4,No,Over,Under,Under,Under,10,Under,16.1,Under,6,-1.856413067,-0.049979293,-1.513859771,-0.105923743,-2.415026702,0.444185794,0.60527836,-1.298822578,0.022601747,0.866126785,-2.728364125,0.309423488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,1,No,Under,Under,Over,Over,13,Over,21.2,Under,3,1.196291626,0.662294705,-0.791235649,1.314551301,0.673782259,-1.948981847,-0.967317931,0.498757627,-3.167531478,-0.700550134,0.940457078,0.607910455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,2,No,Under,Under,Over,Over,9,Under,22.8,Under,1,0.474945715,0.040855726,-0.391910477,-3.207203877,-0.052791771,0.496215633,0.908299259,-0.477967368,-1.647464902,-4.253876783,-3.426375828,-4.40077747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,3,No,Under,Under,Over,Over,11,Average,21.3,Under,1,-0.735028938,-0.550429165,1.908640262,-1.030303033,2.202216289,0.101132356,-0.413214743,0.262357586,-0.18692703,-3.50682315,-2.244965642,1.759127676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,4,No,Under,Under,Over,Over,4,Under,30.1,Over,9,0.966344858,-1.865267424,6.377583516,-2.081223286,-0.14092201,-0.792027861,1.040298797,0.781915074,-0.277892742,-1.489249569,0.770936014,2.92979235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,1,No,Under,Over,Over,Over,9,Under,15.6,Under,3,-1.805578079,0.36011912,-1.23E-15,-3.03E-16,1.29E-15,0.413729217,-0.524163401,-0.381527745,2.950270514,-0.360783478,-2.259351965,-0.641315129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,2,No,Under,Over,Over,Over,10,Under,28.5,Over,3,0.173797648,-0.353214508,0.674030003,1.052183044,1.634784909,2.601727443,-0.440654046,0.553257542,-1.069944252,4.063800669,-0.465240279,0.482421532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,3,No,Under,Over,Over,Over,10,Under,19.2,Under,3,-0.37889827,1.668612834,-4.65317111,-2.265558523,1.295998101,-0.66845382,-0.731436547,-0.93410731,-1.051139018,1.101004418,1.805087018,0.540606637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,4,No,Under,Over,Over,Over,10,Under,19.3,Under,4,-0.011142862,0.329653838,4.851286494,-1.600407144,1.579227859,-0.79728589,-1.17531268,-0.399235511,-2.429492436,1.056678947,0.286729643,1.754267618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19,1,No,Over,Under,Under,Under,11,Average,35.7,Over,2,4.228922428,1.343556056,-2.120233864,-1.756635005,-0.414688367,-0.234574247,0.176928139,2.423780575,0.514270331,-2.221281135,1.539205339,1.255500765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19,2,No,Over,Under,Under,Under,11,Average,19.8,Under,4,-0.539181294,0.495598567,-1.067538638,0.026169447,0.752816883,-1.160872358,-0.383560338,0.437042635,-0.138587717,0.821349238,0.989498426,0.019297355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19,3,No,Over,Under,Under,Under,10,Under,20,Under,4,0.156057897,0.28756864,-0.637970055,2.47146948,-1.100154143,-0.954936507,-0.276301203,-0.246789895,3.979370272,-4.027043623,2.444573156,1.848958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19,4,No,Over,Under,Under,Under,10,Under,28.2,Over,2,2.82606008,3.175381163,-6.673285816,-3.943937111,-0.837021082,-1.316678321,-0.080675706,1.452835166,-2.976692335,-4.528104779,0.763140132,-1.459293345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,1,Yes,Over,Under,Over,Over,14,Over,17.1,Under,6,0.575973222,0.117666901,-1.558094149,-0.498576273,-1.519916152,0.188954632,-0.353500899,-0.245256616,-0.449725547,-0.968182974,-1.333176551,0.357968183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2,Yes,Over,Under,Over,Over,14,Over,17.6,Under,7,-0.861228385,-1.414651746,-1.23E-15,-3.03E-16,1.29E-15,-0.214682614,-1.878789165,0.242688728,1.382841531,0.879911732,-0.091556041,0.60793305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,3,Yes,Over,Under,Over,Over,12,Over,15.9,Under,7,-2.227057909,-0.925090302,2.26293163,-0.379228186,1.628817506,-1.411557211,-1.014435358,-0.530729987,0.717630997,-1.783278497,0.722854616,1.395495429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,4,Yes,Over,Under,Over,Over,13,Over,15.1,Under,7,-1.190013609,0.488160842,-1.753385978,0.47270947,3.55536588,0.828953359,0.700448638,-1.085109468,3.027695976,-1.402215903,-0.488323085,-2.779367411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20,1,No,Under,Under,Under,Over,9,Under,35.7,Over,7,1.13869919,-1.164664177,0.905924391,1.005637922,-1.778621319,3.129756526,0.15313232,0.685231395,2.124845582,1.003922369,2.604624946,-0.187155149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20,2,No,Under,Under,Under,Over,10,Under,27.1,Over,6,1.119872672,0.786150848,3.046661798,-0.388380266,-2.975048591,-0.795474127,1.964851192,0.081136418,-1.933339839,1.283175919,1.060456537,-1.718407362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20,3,No,Under,Under,Under,Over,10,Under,25,Over,6,0.584791528,-1.249305784,0.896871049,-0.28320309,-1.626043834,0.970037376,-0.498193485,0.383939683,1.397309917,2.296204184,1.55027417,-0.445228909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20,4,No,Under,Under,Under,Over,11,Average,30.1,Over,6,1.372233673,-1.848629202,5.527204592,1.769231065,-2.462509079,-1.333840183,0.441378394,-0.410192683,5.032061604,-0.787908205,0.106860975,1.861347363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,1,No,Under,Over,Over,Under,8,Under,17.9,Under,1,-1.242314254,-0.106038396,-1.477205268,-1.079419461,-1.522525042,0.473934817,-0.030025822,0.130924909,6.133559982,-2.339061975,1.083013018,-0.367129581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,2,No,Under,Over,Over,Under,12,Over,17.6,Under,4,-2.595495773,-0.185260806,-1.615548312,1.99296314,1.207597032,-0.21184966,-0.519752803,-0.954396644,1.989678027,0.614536008,0.763526418,1.102421293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,3,No,Under,Over,Over,Under,13,Over,27,Over,1,0.526626519,0.51787891,-0.605046509,0.797229246,3.111860201,-1.088983701,1.942628509,0.73668046,0.932078209,-4.223048053,3.024168608,-3.597771174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,4,No,Under,Over,Over,Under,11,Average,26.7,Over,10,0.755792005,-1.673490174,3.018994789,-0.830106248,0.496671302,-0.283882737,0.310328653,-0.210911777,-1.523924469,-0.012969978,-0.875866003,-0.898877043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,1,Yes,Over,Over,Over,Over,9,Under,19.5,Under,3,-1.848115278,0.27952264,-3.365281275,1.683019239,0.033796204,0.981892876,-0.158069412,-0.758149301,-3.607763615,1.541503081,3.238997125,1.416490441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2,Yes,Over,Over,Over,Over,11,Average,20.4,Under,3,-1.812094713,-0.768597498,-0.655037958,1.315606468,0.126472028,-0.281522511,-1.313903238,0.046677541,3.127451627,1.923177717,0.042543632,1.268365384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,3,Yes,Over,Over,Over,Over,12,Over,20.8,Under,3,-0.420052763,-1.610873316,2.621067213,-0.167251269,-0.965799352,0.0140069,-1.229954502,0.206193253,-1.269589975,-0.048005412,1.47615925,-1.413480936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,4,Yes,Over,Over,Over,Over,10,Under,17.1,Under,7,-0.884881151,-0.580414237,-1.128050475,-1.284712328,-2.060840722,-0.471644961,-1.056150176,0.03832388,-2.201626818,5.603769561,0.020391535,-4.382675442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,1,Yes,Under,Over,Over,Under,11,Average,17,Under,6,-2.467324915,-0.018564357,0.057700051,-0.453015264,0.852619304,0.449725081,1.34269966,-1.335616632,-0.457475929,-4.950498734,-2.010180557,1.740669712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,Yes,Under,Over,Over,Under,13,Over,16,Under,6,-2.271420172,0.150192763,-1.23E-15,-3.03E-16,1.29E-15,0.84698328,0.171087074,-0.631288356,1.389694259,1.084272578,-3.719290631,-0.778212875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,Yes,Under,Over,Over,Under,10,Under,NA,Under,6,-3.142770587,0.440400917,-1.310637414,-0.972046637,1.869821929,-0.367601173,0.633860363,-1.635835421,-6.140449964,-1.352461467,-1.941489362,0.528571869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,Yes,Under,Over,Over,Under,11,Average,11.3,Under,7,-4.083302722,-0.470762209,-0.554462695,2.392624784,0.613708674,-0.792376136,-0.156075368,-1.276696717,-4.877845049,1.772932684,-2.483538743,1.869581901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,1,Yes,Over,Over,Under,Under,11,Average,22.5,Under,3,-1.20020016,0.390868281,-1.705325219,-0.90447641,2.768431389,0.642977635,-0.827092211,0.469710659,-0.816521649,0.362760363,-0.805636802,-1.131476402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2,Yes,Over,Over,Under,Under,17,Over,15.2,Under,3,-2.431818588,0.557048154,-3.727646688,-4.623851486,-0.708384576,-0.188083905,1.202443679,-1.706438379,-0.156654098,0.915480012,-2.420682747,1.518745643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,3,Yes,Over,Over,Under,Under,10,Under,NA,Under,3,-1.505555744,-0.058448272,1.288544726,-0.095457124,0.044467101,0.379451938,-1.757009784,0.491273129,-5.696113774,0.001955052,0.764837797,-1.168881076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,4,Yes,Over,Over,Under,Under,7,Under,15.4,Under,3,-1.993453341,0.562920447,-5.395798796,4.326735504,-3.171387295,0.355860077,1.052001588,-0.095579589,0.035046468,3.724527459,2.701812491,-2.192449215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8,1,Yes,Under,Under,Under,Over,12,Over,17.7,Under,3,-1.413449663,1.45636086,-6.466008136,1.087109431,-0.784562812,-2.131195683,-0.055139646,0.219073209,0.244528995,1.337987924,-1.088733554,-0.384796113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8,2,Yes,Under,Under,Under,Over,13,Over,22.3,Under,1,1.150004865,1.959358613,-3.211711701,-0.074148764,0.0819428,0.741775114,1.700485759,1.734966309,0.086192375,0.533600188,1.694027669,0.005463827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8,3,Yes,Under,Under,Under,Over,12,Over,19.6,Under,7,-1.455485796,0.545233077,-0.304395555,0.533655124,-5.022633336,-1.463331359,-0.006304389,0.650246097,0.395386313,-2.743082228,-2.570999416,-2.287691525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8,4,Yes,Under,Under,Under,Over,11,Average,20.4,Under,3,-1.367580129,-0.052309261,-2.781360548,6.085856512,1.379634975,-0.66735032,-1.201378631,-0.321310952,0.013423086,-0.714684103,-2.675234125,1.299574242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
