PairID,Experience,Nest_No,Left.Height,Left.Length,Right.Height,Right.Length,Front.Height,Front.Width,Top.Length,Top.Width,Entrance.Height,Entrance.Width,Above.Entrance,Below.Entrance,Top.Coord1,Top.Coord2,Top.Coord3,Top.Coord4,Top.Coord5,Top.Coord6,Top.Coord7,Top.Coord8,Top.Coord9,Top.Coord10,Top.Coord11,Top.Coord12,Top.Coord13,Top.Coord14,Top.Coord15,Top.Coord16,Top.Coord17,Top.Coord18,Top.Coord19,Top.Coord20,Top.Coord21,Top.Coord22,Ent.Coord1,Ent.Coord2,Ent.Coord3,Ent.Coord4,Ent.Coord5,Ent.Coord6,Ent.Coord7,Ent.Coord8,Ent.Coord9,Ent.Coord10,Ent.Coord11,Ent.Coord12,Ent.Coord13,Ent.Coord14,Ent.Coord15,Ent.Coord16,Ent.Coord17,Ent.Coord18,Ent.Coord19,Ent.Coord20,Ent.Coord21,Ent.Coord22,Ent.Coord23,Ent.Coord24
P15,No,3,6.97,13.41,7.11,13.73,6.74,17.94,20,22.1,2.095,2.99,2.81,4.24,-0.342466124,-0.342283407,-0.319298015,-0.236596984,-0.124253973,0.006998553,0.149288187,0.178725169,0.307748256,0.377649527,0.34448881,-0.213655275,-0.110471148,0.056855332,0.119137355,0.17016805,0.17196668,0.143468815,-0.025596749,-0.025993544,-0.076565203,-0.209314312,-0.026095065,0.118741895,0.290220035,0.3405756,0.276212865,0.125986895,-0.019331435,-0.143852024,-0.240281599,-0.308576796,-0.279441288,-0.134159082,0.256343712,0.230346718,0.164654732,0.009847547,-0.160570993,-0.244124124,-0.247851418,-0.213709545,-0.137184489,-0.016794432,0.134373228,0.224669063
P15,No,4,9.58,12.77,9.64,12.57,9.79,15.74,14.73,18.09,2.96,3.78,4.84,3.5,-0.379441607,-0.359850579,-0.330717757,-0.219440332,-0.101569408,0.027792722,0.153961939,0.249868684,0.318782266,0.304285769,0.336328302,-0.208510269,-0.104908126,0.059059071,0.088132234,0.121911248,0.143457871,0.130272061,0.073997723,0.002224587,-0.121451973,-0.184184427,-0.037232946,0.116969463,0.261946614,0.356909815,0.275158417,0.115587775,-0.028480272,-0.148073048,-0.277344145,-0.250431734,-0.245639134,-0.139370805,0.266395185,0.26440534,0.176935775,0.003540828,-0.148115177,-0.267531074,-0.26580198,-0.235552655,-0.140275843,0.004030732,0.127077308,0.214891559
P16,No,1,8.14,13.08,8.63,14.99,8.9,17.22,16.15,15.75,2.84,4.42,3.79,0,-0.335575871,-0.32775499,-0.28348563,-0.185240235,-0.145465805,0.006083611,0.145764701,0.236038194,0.301624669,0.297249435,0.290761922,-0.276965068,-0.175159057,0.08010196,0.124464311,0.213459168,0.248238874,0.145677127,0.054527447,-0.031127022,-0.145884399,-0.237333342,0.002036257,0.127319875,0.219181774,0.265325,0.298730008,0.207682288,-0.019948471,-0.179508993,-0.28121054,-0.306410822,-0.233729051,-0.099467325,0.241319549,0.241705033,0.160258646,0.050702053,-0.110698942,-0.278898909,-0.307990015,-0.302318098,-0.107435024,0.020665477,0.162766327,0.229923902
P16,No,2,7.09,15.04,7.29,14.86,9.1,13.93,NA,NA,3.86,6.51,4.21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009685037,0.13478017,0.304187975,0.388445896,0.244758466,0.087126321,-0.006943347,-0.094918542,-0.269810983,-0.326970373,-0.283216824,-0.167753723,0.250293791,0.231244387,0.148315045,-0.025710327,-0.164412157,-0.19001364,-0.194603038,-0.197013776,-0.185423073,-0.034705981,0.120820058,0.241208712
P16,No,3,7.04,14.09,6.99,13.41,10.35,17.11,17.54,17.23,3.87,4.41,2.27,0,-0.359758995,-0.337671509,-0.301145164,-0.233953758,-0.12858614,-0.018912113,0.182771343,0.274705194,0.374685686,0.317118423,0.230747034,-0.198432234,-0.124230716,0.01651285,0.128991356,0.130367654,0.106264321,0.195568436,0.095170347,0.021187185,-0.117317302,-0.254081897,0.013538405,0.185692973,0.376569737,0.255026214,0.17818448,0.126367013,0.011992841,-0.084140744,-0.276623871,-0.376919445,-0.269240599,-0.140447002,0.255464966,0.268629718,0.174061224,-0.026237042,-0.127034649,-0.207278111,-0.208997229,-0.221318689,-0.208381554,-0.054101835,0.127474232,0.22771897
P16,No,4,8.21,14.43,7.67,13.61,7.65,15.62,16.05,16.09,3.26,3.81,2.805,2.28,-0.354070901,-0.268346943,-0.357675916,-0.244474338,-0.118720554,0.008404236,0.151621437,0.262465988,0.296648373,0.310021862,0.314126756,-0.222675124,-0.177906716,0.095193845,0.142313011,0.150262336,0.183313984,0.137914587,0.081434222,-0.051364186,-0.125495587,-0.212990372,-0.023979312,0.12223653,0.247916047,0.3271296,0.294668246,0.126303857,-0.01467758,-0.167272055,-0.272290693,-0.258712939,-0.230220368,-0.151101332,0.303658642,0.241216337,0.159588911,0.008774266,-0.185301835,-0.216646026,-0.252408432,-0.258476078,-0.15936089,-0.005554731,0.129900866,0.23460897
P17,No,1,10.37,17.12,10.16,16.27,14.78,15.24,20.06,20.52,1.75,2.92,4.82,7.23,-0.375569386,-0.349949246,-0.288180165,-0.215137396,-0.115220833,0.015684058,0.1614088,0.261714173,0.275502448,0.311800887,0.317946661,-0.198859754,-0.100343593,-0.009339365,0.065255844,0.139280054,0.233034506,0.18305714,0.089975047,-0.059030413,-0.125973776,-0.21705569,-0.003953324,0.148787057,0.342316898,0.381598873,0.206738224,0.078212724,-0.024206208,-0.137489398,-0.24877991,-0.340546289,-0.272197815,-0.130480833,0.245749333,0.2393599,0.166815681,-0.004841545,-0.121509834,-0.170310141,-0.218708441,-0.242337167,-0.198305856,-0.036022607,0.124076167,0.21603451
P17,No,2,9.71,15.87,9.41,16.46,10.49,18.33,18.62,20.42,3.64,3.56,3.15,5.31,-0.36529815,-0.328443714,-0.256018934,-0.273430467,-0.123475661,0.017478808,0.132836273,0.222006068,0.29478748,0.309896508,0.369661788,-0.210833062,-0.132233402,-0.047844055,0.216663006,0.189587494,0.235666185,0.068853414,0.024724144,-0.04243548,-0.11913445,-0.183013794,-0.055699182,0.176153565,0.361500557,0.312859262,0.185431031,0.103720684,-0.052390946,-0.134841994,-0.200027343,-0.251463409,-0.248247645,-0.196994579,0.32389905,0.315034142,0.175516216,-0.032634992,-0.162581159,-0.243180959,-0.280321155,-0.21426106,-0.128835502,-0.043582504,0.066391367,0.224556557
P17,No,3,9.18,14.4,8.58,14.24,10.08,18.08,15.98,19.21,3.56,2.87,4.715,5.04,-0.434268652,-0.349341635,-0.257217531,-0.233332482,-0.1227268,0.017676686,0.133333117,0.243580067,0.311234457,0.36664813,0.324414642,-0.146282778,-0.09926875,-0.066103568,0.117720458,0.168879259,0.150383869,0.10006502,0.064971902,-0.014657456,-0.069377057,-0.206330901,-0.012366648,0.180820952,0.280988804,0.223133667,0.22155168,0.150282443,-0.002726197,-0.122320911,-0.256382884,-0.282582187,-0.240530874,-0.139867844,0.318820792,0.318385241,0.151479167,-0.016308649,-0.135492365,-0.253754829,-0.30905416,-0.247718509,-0.172028985,-0.014622605,0.119395293,0.240899607
P17,No,4,12.91,14.71,10.53,13.64,12.17,19.2,16.4,24.25,2.8,3.53,3.56,11.11,-0.42324596,-0.378118696,-0.306039964,-0.225434346,-0.129524696,-0.027115456,0.098344997,0.202051974,0.286617342,0.40220371,0.500261096,-0.117050531,-0.024336337,0.049923736,0.08514739,0.097380829,0.053099203,0.064561997,0.017409495,-0.030607749,-0.057474001,-0.138054031,0.008818581,0.146436218,0.258096447,0.38008557,0.19419127,0.119384612,0.005601199,-0.132608527,-0.273054521,-0.286642971,-0.280550809,-0.139757069,0.280194359,0.227670376,0.124246641,-0.005326952,-0.105648761,-0.184712066,-0.254730726,-0.278015579,-0.19627122,-0.018916205,0.144680342,0.266829791
P18,No,1,8.24,12.81,8.17,13.18,11.83,12.16,NA,NA,3.44,3.29,4.385,2.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.023757275,0.13384462,0.231266799,0.275745587,0.298541867,0.177542263,-0.018361737,-0.138297175,-0.222886507,-0.281389968,-0.269140261,-0.163108215,0.318646499,0.23502082,0.138781413,-0.006753085,-0.166095426,-0.293887327,-0.269867232,-0.208093429,-0.127439072,-0.014204188,0.130119143,0.263771885
P18,No,2,10.41,16.57,10.34,15.3,9.85,15.79,17.11,19.19,3.765,5.87,4.96,3.51,-0.38757216,-0.375750264,-0.27940575,-0.220162267,-0.114021043,0.011367857,0.157453928,0.259233021,0.309602955,0.319756548,0.319497174,-0.189067321,-0.075863523,-0.020378644,0.086330203,0.139677386,0.149392829,0.148921672,0.103548766,-0.016594169,-0.114205251,-0.211761947,-0.018299656,0.099717882,0.248154707,0.401369446,0.308963914,0.117619839,-0.019066127,-0.136935129,-0.282184093,-0.357157897,-0.25301685,-0.109166035,0.221574698,0.223641306,0.170107281,0.015920836,-0.16793097,-0.214661913,-0.221932654,-0.215280631,-0.141784212,-0.001201696,0.149490296,0.182057659
P18,No,3,7.79,17.39,7.93,16.02,12.34,14.15,19.5,16.33,2.2,3.65,3.875,1.905,-0.241915038,-0.353210364,-0.262757114,-0.257192054,-0.142732333,0.012732661,0.171478692,0.237460232,0.290738152,0.303353617,0.24204355,-0.294366344,-0.11073046,-0.040784698,0.15278245,0.251287869,0.283223776,0.207199838,0.036809127,-0.044855666,-0.149494007,-0.291071884,-0.009655415,0.139047484,0.31210878,0.353628676,0.253592493,0.118059441,-0.002516034,-0.112549435,-0.264975876,-0.360027829,-0.295014581,-0.131697703,0.212082852,0.223134747,0.16731091,-0.000883247,-0.157420667,-0.196736936,-0.214369073,-0.206280257,-0.165852582,-0.026374269,0.149674023,0.215714499
P18,No,4,8.58,15.05,8.53,14.72,14.23,16.78,18.01,21.44,2.35,3.205,4.625,2.625,-0.415239576,-0.372649719,-0.295671299,-0.226820936,-0.133416184,-0.010802211,0.118123749,0.204091811,0.309889251,0.407625356,0.414869759,-0.103308477,-0.03932457,0.0052612,0.045641344,0.099008618,0.126364529,0.104663425,0.027651238,-0.018365911,-0.062266624,-0.185324773,-0.019756104,0.138173054,0.350130641,0.318283936,0.256079714,0.127544576,-0.000575183,-0.137232525,-0.282518557,-0.359786194,-0.271728747,-0.118614613,0.221407425,0.226218872,0.182469476,-0.011378124,-0.129551307,-0.19384109,-0.203527358,-0.245275315,-0.171479038,-0.010132763,0.142589463,0.19249976
P19,No,1,11.61,17.73,11.61,19.79,19.12,18.5,26.46,28.34,3.1,3.84,5.38,13.65,-0.213914675,-0.41606163,-0.302785696,-0.226838809,-0.134382728,0.003619711,0.158125703,0.223670009,0.2837776,0.305424672,0.319365843,-0.308623784,-0.052528482,0.020732526,0.100430637,0.234143298,0.255558036,0.190149989,-0.011261024,-0.071953672,-0.136018411,-0.220629114,-0.011468258,0.165257028,0.296133988,0.307440844,0.217890397,0.127667253,0.011773623,-0.114503841,-0.234764298,-0.316733788,-0.291782322,-0.156910627,0.286565184,0.237323928,0.122104862,-0.013334382,-0.140259558,-0.194945662,-0.246933399,-0.247443903,-0.182289729,-0.037073158,0.160101095,0.256184723
P19,No,2,8.24,15.95,7.82,13.84,13.35,16.77,17.31,19.1,2.11,3.57,4.38,7.47,-0.323787688,-0.356492164,-0.30849163,-0.226944941,-0.121586574,0.020780492,0.153044424,0.254891284,0.328379259,0.302910407,0.277297131,-0.242478212,-0.101430662,0.028376685,0.069810907,0.195591668,0.212605146,0.141271438,0.064064686,-0.001944413,-0.124304399,-0.241562845,-0.020083062,0.134507082,0.296561734,0.380452687,0.237376025,0.129809975,-0.016332627,-0.111686019,-0.241118581,-0.350801441,-0.28371602,-0.154969752,0.220278822,0.214310245,0.153159311,-0.005680873,-0.131116295,-0.225303618,-0.223463864,-0.209923669,-0.162672755,-0.015930761,0.154634881,0.231708575
P19,No,3,8.58,16.18,7.43,17.02,12.43,21.09,16.02,19.24,2.82,2.6,4.08,5.06,-0.318387983,-0.395371208,-0.322704344,-0.216174139,-0.101015543,0.042224826,0.154465288,0.258413741,0.289706907,0.296951845,0.311890609,-0.247826706,-0.083746752,0.042896447,0.090961561,0.145240102,0.128951519,0.197374496,0.135511369,-0.05735815,-0.14520181,-0.206802076,0.030541524,0.159836229,0.223983323,0.253612077,0.226519719,0.15179806,0.021320859,-0.087901146,-0.185652447,-0.311728146,-0.318175879,-0.164154173,0.340618595,0.235075974,0.099353239,-0.023775621,-0.148535793,-0.237962666,-0.286528496,-0.244554808,-0.169924093,-0.044155253,0.161462793,0.318926129
P19,No,4,9.76,20.46,10.3,17.68,20.07,14.96,27.7,17.68,2.27,3.44,4.78,11.4,-0.260817407,-0.274069525,-0.267182126,-0.26442059,-0.165847346,0.013379792,0.17548676,0.212556901,0.255774544,0.282555731,0.292583268,-0.284426794,-0.17852572,-0.033404396,0.164414026,0.311324329,0.33472656,0.265703513,-0.044353287,-0.116512549,-0.173704201,-0.245241481,-0.018680583,0.191656951,0.309282846,0.33451491,0.20526517,0.078449659,-0.009621178,-0.114060666,-0.25045121,-0.330403912,-0.246237787,-0.1497142,0.339816186,0.309387429,0.132861916,-0.047228392,-0.131379269,-0.19605085,-0.240389777,-0.20377032,-0.189109352,-0.054941295,0.076725929,0.204077795
P1,Yes,1,9.93,16.84,9.65,16.21,12.78,17.83,17.28,18.41,3.16,3.53,4.24,3.69,-0.320401141,-0.348018761,-0.307117113,-0.246232925,-0.132103233,0.018141912,0.168985964,0.243465335,0.273006725,0.314249854,0.336023383,-0.24211923,-0.111227865,0.027642269,0.140578374,0.217891269,0.094372894,0.220018644,0.04304769,-0.075131993,-0.116644835,-0.198427218,-0.017369736,0.142438951,0.265167299,0.311997214,0.254143964,0.132685049,-0.00504825,-0.132989943,-0.27052859,-0.292879213,-0.237157539,-0.150459207,0.297987829,0.271557814,0.150875262,-0.01339807,-0.163142718,-0.23374713,-0.243825336,-0.236324164,-0.17388938,-0.009455455,0.112784535,0.240576814
P1,Yes,2,9.98,13.28,9.14,12.78,9.69,18.71,NA,NA,2.88,3.02,5.77,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.018711354,0.148818265,0.239979483,0.238862167,0.333751912,0.168586816,-0.00068434,-0.114655579,-0.241992914,-0.362216155,-0.256531204,-0.135207097,0.252809387,0.26856594,0.14215554,-0.004284468,-0.196376584,-0.264191808,-0.209713319,-0.214895214,-0.161455916,-0.008519755,0.155698601,0.240207594
P1,Yes,3,8.79,12.1,8.18,11.91,9.07,14.63,14.69,17.55,2.28,2.54,4.39,3.17,-0.374442784,-0.388355988,-0.299534704,-0.209705354,-0.120237011,0.01634433,0.144830921,0.224109593,0.337041836,0.358722801,0.31122636,-0.202062623,-0.050853184,0.015379003,0.038023705,0.155438413,0.171222864,0.127020741,0.02167048,0.014057727,-0.080357547,-0.209539579,-0.001027703,0.13650815,0.306040594,0.301120955,0.222100716,0.129760611,0.011510712,-0.116306249,-0.230838674,-0.318833749,-0.286889648,-0.153145715,0.284732697,0.22427989,0.144324996,-0.018358461,-0.131041441,-0.214922419,-0.262184588,-0.250009921,-0.161170926,-0.023902873,0.136212274,0.272040773
P1,Yes,4,9.16,15.57,6.89,14.34,8.7,16.07,18.09,16.35,3.81,3.52,3.01,2.56,-0.39966358,-0.340191759,-0.238941819,-0.203759578,-0.134450414,0.017104276,0.146542849,0.278067474,0.314562441,0.291252894,0.269477214,-0.200525796,-0.114968388,-0.065606715,0.049438059,0.22395239,0.279995515,0.102846518,0.122411172,-0.002269505,-0.147408706,-0.247864545,-0.022003033,0.13926028,0.231737009,0.337830165,0.270100066,0.128000185,-0.023306594,-0.11039397,-0.174808112,-0.283311292,-0.299780707,-0.193323997,0.281568174,0.268125809,0.128459823,-0.024660156,-0.185063346,-0.244974755,-0.295387976,-0.19871031,-0.11258267,-0.026220731,0.139329555,0.270116582
P20,No,1,10.72,13.43,11.21,15.14,14.85,21.86,17.79,21.22,4.16,6.17,4.64,4.6,-0.38783771,-0.328860314,-0.34348255,-0.225044961,-0.11722922,0.022361381,0.156672004,0.247731626,0.299525108,0.328299352,0.347865283,-0.19842007,-0.119508044,0.087835433,0.094933145,0.138652568,0.063802833,0.184239614,0.065231158,-0.027940059,-0.103735557,-0.185091021,-0.009446929,0.133200414,0.247986598,0.333163742,0.291566502,0.136529359,0.008589493,-0.088371672,-0.227149645,-0.355233569,-0.330527516,-0.140306777,0.25155313,0.221614024,0.124505729,-0.007829504,-0.17640179,-0.247907944,-0.206324649,-0.189728308,-0.147749256,-0.023242157,0.167767393,0.233743331
P20,No,2,9.47,15.07,8.26,16.83,13.07,20.18,22.51,22.75,2.01,4.95,2.11,11.37,-0.408028067,-0.355786376,-0.344465394,-0.247922453,-0.107169863,0.047773761,0.152410834,0.231847618,0.303444576,0.343756689,0.384138676,-0.201135005,-0.104304691,0.067280628,0.137548465,0.152162872,0.062713225,0.065528079,0.009262257,-0.016052971,-0.061435161,-0.111567698,-0.027232553,0.103967502,0.343489714,0.400853203,0.23491249,0.102914272,-0.021396198,-0.113372968,-0.221778326,-0.409565559,-0.252268664,-0.140522913,0.223146092,0.231854433,0.16907047,-0.014491607,-0.144212811,-0.209343523,-0.221248978,-0.186542175,-0.135230128,-0.036454229,0.129750039,0.193702418
P20,No,3,11.3,13.71,11.42,15.06,13.49,18.02,16.35,19.55,3.09,4.75,4.72,4.65,-0.369081863,-0.355999562,-0.314615886,-0.248241598,-0.106192705,0.03188576,0.152294891,0.246209594,0.295229877,0.324410894,0.3441006,-0.226118302,-0.106230953,0.035121213,0.150287186,0.138810989,0.145889259,0.120671618,0.032614406,-0.03477687,-0.091803161,-0.164465386,-0.014105547,0.110359529,0.251656561,0.38191026,0.288453999,0.135186322,-0.004452026,-0.114731587,-0.223838306,-0.358990526,-0.309345616,-0.142103062,0.215553428,0.218044966,0.13863075,-0.004788348,-0.173610578,-0.224706618,-0.215018183,-0.199993688,-0.137133533,-0.013750699,0.164005825,0.232766677
P20,No,4,10.86,13.91,10.1,13.64,15.19,23.8,16.13,28.11,2.7,2.51,3.33,6.57,-0.458463363,-0.410410248,-0.326936804,-0.202768767,-0.07765831,0.03339876,0.144148358,0.234653171,0.27805662,0.348033219,0.437947363,-0.175149263,-0.055516731,0.055240794,0.074804984,0.077531318,0.10490832,0.061730134,0.025073239,-0.058137006,-0.049467109,-0.061018682,-0.001373667,0.137752956,0.203085754,0.287125734,0.252169425,0.202578741,0.012245226,-0.098543259,-0.217393397,-0.316062778,-0.308293218,-0.153291517,0.298410764,0.211376617,0.106065207,-0.000327104,-0.124286572,-0.276147802,-0.354599107,-0.182741095,-0.123703991,-0.007875104,0.169381835,0.284446353
P22,No,1,9.02,14.16,NA,NA,10.54,14.97,16.57,16.48,3.48,3.59,4.28,5.19,-0.304943298,-0.356125052,-0.296696917,-0.256596393,-0.120810563,0.022684572,0.15018877,0.243167357,0.273327096,0.295990097,0.349814331,-0.260112436,-0.106987558,0.017351814,0.172529074,0.171712275,0.212418991,0.137678964,0.053131231,-0.0686996,-0.136127373,-0.19289538,-0.006715456,0.122502688,0.234633825,0.264274133,0.250390502,0.167697638,0.005648806,-0.070019132,-0.167054144,-0.273877108,-0.354181981,-0.173299769,0.311157489,0.212267799,0.116073298,-0.030535958,-0.144096274,-0.270159192,-0.376448481,-0.17756907,-0.116440294,-0.022780794,0.174163185,0.324368291
